row_index,target,assigned_category_id,assigned_category_name,predicted_category_id,predicted_category_name,accurate,confidence,rationale
0,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question seeks specific factual data – statistics – regarding a period of time, aligning with information-seeking inquiries."
1,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks specific information about a planned event and its schedule.
2,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question seeks information about the distribution of new equipment to schools, aligning with the definition of Information-Seeking Questions."
3,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question seeks information about occupancy rates, aligning with the definition of Information-Seeking Questions."
4,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,low,"The question seeks information about bed capacity, aligning with the definition of Information-Seeking Questions."
5,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks specific factual information about the number of enforcement officers.
6,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks factual information about firefighting equipment acquisition.
7,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks specific location data related to EV charging infrastructure.
8,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks specific factual data – the number of trees planted. It’s a standard information-seeking inquiry.
9,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks factual information about student participation in a specific program.
10,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks factual information about recruitment numbers.
11,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question seeks specific information about application approvals, aligning with the definition of Information-Seeking Questions."
12,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks factual information about EU funds allocation to SMEs.
13,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks specific factual data – passenger numbers – aligning with information-seeking inquiries.
14,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question seeks information about medication availability, aligning with the definition of Information-Seeking Questions."
15,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks specific factual data – the number of reservoirs – indicating information-seeking.
16,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks specific factual data – the number of localities – indicating information-seeking.
17,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,"The question challenges the Minister's prioritization of rural road improvements, implying a lack of accountability for the existing state of the roads."
18,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question directly challenges the Minister's admission of failure and highlights a specific metric (wait times) as a key indicator of the strategy's effectiveness.
19,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question challenges the Minister's action and implies a perceived lack of accountability for a specific outcome.
20,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,,
21,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,low,The question challenges the Minister's action and its impact on vulnerable patients.
22,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,"The question challenges the Minister's justification for understaffing, implying a lack of genuine strategy."
23,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,low,The question implies criticism of the scheduling through a hidden accusation of inadequacy.
