Date,PQ No.,MP,Question (EN),Answer (EN)
12/05/2023,23456,Ivan Bartolo,Social Housing - Maintenance Works: Can the Minister for Social Policy and Children’s Rights state how many social housing units in the Valletta district underwent structural maintenance during the last fiscal year?,"I am informed that during the 2023 fiscal year, the Housing Authority carried out structural maintenance on 42 social housing units within the Valletta district, at a total cost of €315,000."
15/06/2023,18234,Chris Said,Gozo - New School Projects: Can the Minister for Gozo provide an update on the progress of the new primary school in Victoria and specify the expected completion date?,"The construction of the new primary school in Victoria is currently in its final finishing stages. I can confirm that the project is scheduled for completion by September 2024, in time for the upcoming scholastic year."
22/07/2023,31092,Justin Schembri,"Education - Laptop Distribution: Can the Minister for Education, Sport, Youth, Research and Innovation provide the total number of laptops distributed to Year 7 students in state schools during the first semester of the current academic year?","The Ministry can confirm that a total of 3,842 laptops were distributed to Year 7 students across all state schools between September and December 2023 as part of the digital literacy initiative."
05/09/2023,12567,Jerome Caruana Cilia,"Economy - Startup Grants: Can the Minister for the Economy, European Funds and Lands state the total value of grants awarded to local tech startups under the 'Digital Growth' scheme during 2023?","I am informed that under the 'Digital Growth' scheme, a total of €1.2 million was awarded to 15 local tech startups throughout 2023 to support their internationalization efforts."
18/10/2023,29845,Graziella Attard Previ,Active Ageing - Day Centres: Can the Minister for Health and Active Ageing confirm if there are plans to open a new Day Centre for the elderly in the Sliema area?,"Yes, the Ministry is currently finalizing the refurbishment of a property in Sliema which will serve as a new Active Ageing Day Centre. It is expected to become operational by the end of June 2024."
11/11/2023,33401,Rebekah Borg,"Environment - Tree Planting Statistics: Can the Minister for the Environment, Energy and Regeneration of the Grand Harbour provide the number of indigenous trees planted in the San Pawl il-Baħar area during the last quarter of 2023?","During the period between October and December 2023, Project Green oversaw the planting of 850 indigenous trees and shrubs in the San Pawl il-Baħar locality as part of the urban greening program."
02/12/2023,15678,Ivan Castillo,"Transport - Bus Route Frequency: Can the Minister for Transport, Infrastructure and Public Works state whether the frequency of the bus service between Mellieħa and the University of Malta will be increased?","I can confirm that following a review by Malta Public Transport, the frequency of Route X1 will be increased from every 30 minutes to every 20 minutes during peak morning hours effective from the next schedule update."
14/01/2024,21005,Ivan Bartolo,"Home Affairs - Community Policing: Can the Minister for Home Affairs, Security, Reforms and Equality provide the number of new police recruits that joined the Community Policing team in the Southern Region in 2023?","I am informed that 18 new police officers were assigned to the Community Policing teams within the Southern Region during the course of 2023, bringing the total number of officers in that region to 45."
20/02/2024,38920,Chris Said,Gozo - Rural Road Improvement: Can the Minister for Gozo state the total expenditure on the rural road improvement program in Gozo for the year 2023?,"The total expenditure on the improvement and resurfacing of rural roads in Gozo for the year 2023 amounted to €2.45 million, covering approximately 12 kilometers of the rural road network."
05/03/2024,27443,Justin Schembri,"Sports - Scholarship Recipients: Can the Minister for Education, Sport, Youth, Research and Innovation state how many students benefited from the 'SportMalta' scholarship scheme in the last academic year?","A total of 125 student-athletes were awarded scholarships under the 'SportMalta' scheme for the 2022/2023 academic year, representing a 10% increase over the previous year."
