Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
15/03/2023,23456,Ivan Bartolo,Health and Active Ageing,Hospital Staffing – Vacancies,"To ask the Minister for Health and Active Ageing what is the current number of vacant positions within the public hospital system, and what steps are being taken to fill these vacancies.","As of the latest data available, there are 127 vacant positions within the public hospital system. The Ministry is actively recruiting through various channels, including international recruitment drives and collaboration with local educational institutions to encourage Maltese nationals to pursue careers in the healthcare sector."
20/03/2023,23457,Chris Said,"Education, Sport, Youth, Research and Innovation",School Infrastructure – Projects,"To ask the Minister for Education, Sport, Youth, Research and Innovation how many school infrastructure projects are currently underway, and what is the estimated completion date for each.","There are currently 15 school infrastructure projects underway. The estimated completion dates for these projects range from June 2023 to December 2024, depending on the scope and complexity of each project."
25/03/2023,23458,Justin Schembri,"Transport, Infrastructure and Public Works",Public Transport – Delays,"To ask the Minister for Transport, Infrastructure and Public Works what measures are being taken to reduce delays in public transport services, and what is the average delay time for the past three months.","The Ministry is implementing several measures to reduce delays in public transport services, including the introduction of new vehicles and the optimization of routes. The average delay time for the past three months has been approximately 8 minutes."
30/03/2023,23459,Jerome Caruana Cilia,"Environment, Energy and Regeneration of the Grand Harbour",Waste Management – Recycling Rates,"To ask the Minister for Environment, Energy and Regeneration of the Grand Harbour what is the current recycling rate in Malta, and what initiatives are being undertaken to increase this rate.","The current recycling rate in Malta is approximately 35%. The Ministry is undertaking several initiatives to increase this rate, including public awareness campaigns, the expansion of recycling facilities, and the introduction of incentives for businesses that adopt sustainable practices."
05/04/2023,23460,Graziella Attard Previ,Social Policy and Children’s Rights,Child Protection – Cases,"To ask the Minister for Social Policy and Children’s Rights how many child protection cases have been reported in the past year, and what support services are available for affected families.","In the past year, there have been 450 reported child protection cases. The Ministry provides a range of support services for affected families, including counseling, financial assistance, and access to educational and healthcare resources."
10/04/2023,23461,Rebekah Borg,"Economy, European Funds and Lands",Economic Growth – Sectors,"To ask the Minister for Economy, European Funds and Lands which sectors have shown the most significant economic growth in the past year, and what initiatives are being taken to sustain this growth.","The sectors that have shown the most significant economic growth in the past year include tourism, financial services, and information technology. The Ministry is taking several initiatives to sustain this growth, including investment in infrastructure, support for startups, and the promotion of Malta as a business-friendly destination."
15/04/2023,23462,Ivan Castillo,Prime Minister,Government Initiatives – Progress,"To ask the Prime Minister what are the key initiatives currently being undertaken by the government, and what is the progress on these initiatives.","The government is currently undertaking several key initiatives, including the expansion of healthcare facilities, the improvement of public transport infrastructure, and the promotion of sustainable tourism. Progress on these initiatives is being closely monitored, with regular updates provided to the public through various channels."
20/04/2023,23463,Ivan Bartolo,Justice and Reform of the Construction Sector,Legal Reforms – Implementation,"To ask the Minister for Justice and Reform of the Construction Sector what legal reforms have been implemented in the past year, and what is the timeline for future reforms.","In the past year, several legal reforms have been implemented, including the introduction of new regulations to enhance transparency in the construction sector and the establishment of a dedicated task force to address issues related to property rights. The timeline for future reforms is being developed in consultation with relevant stakeholders, with a focus on ensuring a balanced and sustainable approach."
25/04/2023,23464,Chris Said,"Home Affairs, Security, Reforms and Equality",Public Safety – Measures,"To ask the Minister for Home Affairs, Security, Reforms and Equality what measures are being taken to enhance public safety, and what is the current crime rate in Malta.","The Ministry is taking several measures to enhance public safety, including the deployment of additional police officers, the implementation of advanced surveillance technologies, and the promotion of community policing initiatives. The current crime rate in Malta is relatively low, with a focus on addressing specific areas of concern through targeted interventions."
30/04/2023,23465,Justin Schembri,Gozo,Infrastructure Development – Gozo,"To ask the Minister for Gozo what infrastructure development projects are currently underway in Gozo, and what is the expected completion date for each.","There are currently several infrastructure development projects underway in Gozo, including the expansion of the Gozo General Hospital, the improvement of road networks, and the development of new recreational facilities. The expected completion dates for these projects range from December 2023 to June 2025, depending on the scope and complexity of each project."
