Date,PQ No.,MP,Question (EN),Answer (EN)
12/03/2024,14250,Ivan Bartolo,"Social Housing - Waiting List Statistics: Can the Minister provide the current number of individuals on the waiting list for social housing in the Southern Harbour region, categorized by age group?",The information requested is still being compiled and will be provided in a future sitting.
15/03/2024,14382,Chris Said,Gozo Hospital - Specialized Equipment: Can the Minister state what new specialized medical equipment has been installed at the Gozo General Hospital since June 2023?,I refer the Honourable Member to the reply given to Parliamentary Question 12944.
18/03/2024,14501,Justin Schembri,School Transport - Route Efficiency: Can the Minister provide a list of all school transport routes that have been modified to reduce travel time for students in the primary sector?,"The Honourable Member is requested to refer this question to the Minister for Transport, Infrastructure and Public Works."
20/03/2024,14615,Jerome Caruana Cilia,Economic Grants - Small Businesses: Can the Minister provide a breakdown of the total amount of grants issued to small and medium enterprises (SMEs) under the 'Digital Transformation' scheme in 2023?,The information is still being collected and will be laid on the Table of the House in a future sitting.
22/03/2024,14722,Graziella Attard Previ,Child Protection - Case Workers: Can the Minister provide the current ratio of case workers to active files within the Child Protection Services department?,I refer the Honourable Member to the answer provided for Parliamentary Question 13110.
25/03/2024,14833,Rebekah Borg,Environmental Permits - Industrial Sites: Can the Minister provide the number of IPPC permits currently under review for industrial facilities located in the Hal Far area?,"This question should be addressed to the Minister for the Environment, Energy and Regeneration of the Grand Harbour."
27/03/2024,14940,Ivan Castillo,Maritime Safety - Inspection Frequency: Can the Minister state how many safety inspections were carried out on commercial passenger vessels operating between Malta and Gozo during the last quarter?,The information requested is still being processed and will be provided in a subsequent sitting.
02/04/2024,15055,Chris Said,Gozo Infrastructure - Road Projects: Can the Minister provide a list of all residential roads in Gozo that are scheduled for resurfacing during the 2024-2025 financial year?,I refer the Honourable Member to the reply given to Parliamentary Question 14102.
05/04/2024,15167,Justin Schembri,Education - Inclusion Resources: Can the Minister provide the number of Learning Support Educators (LSEs) currently assigned to state schools in the Central district?,"The Honourable Member is requested to refer the question to the Minister for Education, Sport, Youth, Research and Innovation."
08/04/2024,15278,Jerome Caruana Cilia,Public Finance - Revenue from Fines: Can the Minister provide the total revenue generated from administrative fines issued by the Malta Financial Services Authority in 2023?,The information is still being compiled and will be provided in a future sitting.
