Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
15/03/2024,23457,Ivan Bartolo,Social Policy and Children's Rights,Support for Families - Childcare Provision,"Could the Minister outline the current number of registered childcare centres across the Maltese Islands, and provide a detailed breakdown of funding allocated to each region?","The Minister acknowledges the importance of accessible childcare services. Currently, there are 62 registered childcare centres across the islands. Funding allocation is determined by a formula based on population density, socio-economic indicators, and geographical location, with a total budget of €8.2 million for the current fiscal year. A detailed breakdown is available in Appendix A, circulated with this response."
22/03/2024,23458,Chris Said,"Economy, European Funds and Lands",Strategic Land Planning - Western Development Zone,"Will the Minister table the full Strategic Land Plan for the Western Development Zone, including proposed zoning classifications and timelines for implementation, as requested by the Opposition?","The Minister confirms that the Strategic Land Plan for the Western Development Zone is currently under final review. A draft version, incorporating feedback from stakeholders, will be formally tabled in Parliament within 14 days. The anticipated timeframe for full implementation is 3-5 years, subject to ongoing monitoring and adjustments."
29/03/2024,23459,Justin Schembri,"Transport, Infrastructure and Public Works",Mater Dei Hospital Car Park Expansion,"Can the Minister provide a definitive timeline for the commencement and completion of the proposed expansion of the Mater Dei Hospital car park, including estimated costs and projected impact on existing traffic flow?","The Minister assures the public of the government’s commitment to addressing parking challenges at Mater Dei Hospital. The project is currently in the tender phase and a contractor is expected to be appointed within one month. Construction is anticipated to commence within six weeks of contractor appointment, with a projected completion date of 18 months from that date. A comprehensive traffic impact assessment is being conducted concurrently."
05/04/2024,23460,Jerome Caruana Cilia,"Education, Sport, Youth, Research and Innovation",University Research Funding - Artificial Intelligence,"Will the Minister publish a list of all research projects currently receiving funding from the University of Malta’s Artificial Intelligence Research Centre, detailing the allocated budget for each project?","The Minister recognises the significance of AI research. A full list of funded projects, along with their respective budgets, is available on the University of Malta’s website – accessible via the link: [fictional link]. This transparency reflects the government’s dedication to supporting academic innovation."
12/04/2024,23461,Graziella Attard Previ,Health and Active Ageing,Elderly Residential Care - Staffing Levels,"Can the Minister confirm the current staffing levels for all elderly residential care facilities operated by the government, and outline the steps being taken to address any identified shortages?","The Minister acknowledges the vital role of dedicated staff in providing care for our elderly citizens. Current staffing levels across all government-operated residential care facilities are being actively monitored and reviewed. A recruitment drive is underway, and additional training programmes are being implemented to ensure adequate staffing levels are maintained."
19/04/2024,23462,Rebekah Borg,"Environment, Energy and Regeneration of the Grand Harbour",Solar Panel Installation - Public Buildings,"Will the Minister table a list of all public buildings currently undergoing solar panel installation, detailing the anticipated completion dates and the total investment involved?","The Minister is pleased to report significant progress in our commitment to renewable energy. A complete list of public buildings undergoing solar panel installation, along with projected completion dates and investment figures, is available in Document E347/2024, which has been circulated to all Members of Parliament."
26/04/2024,23463,Ivan Castillo,"Home Affairs, Security, Reforms and Equality",Police Training Academy - New Facilities,"Could the Minister provide a timeline for the completion of the new facilities at the Police Training Academy, including the expected cost and the number of trainees to be accommodated?","The Minister confirms that the construction of the new Police Training Academy facilities is progressing well. We anticipate completion within 24 months, with a total investment of €15 million. This will allow us to accommodate up to 150 trainees simultaneously."
03/05/2024,23464,Chris Said,"Economy, European Funds and Lands",Gozo Tourism Investment - Infrastructure,"Will the Minister provide a detailed breakdown of the European Union funding allocated to infrastructure projects supporting tourism in Gozo, specifying the allocated amounts and anticipated outcomes?","The Minister is committed to maximizing the benefits of European funding for Gozo. A comprehensive breakdown of the allocated funds for tourism infrastructure projects is available in Annex B to this response. This includes investments in road improvements, harbour facilities, and pedestrianisation schemes."
10/05/2024,23465,Justin Schembri,"Transport, Infrastructure and Public Works",Southbound Motorway - Junction 8 Improvements,"Can the Minister confirm that the contract for the Junction 8 improvements on the southbound motorway has been fully executed, and provide a date for the commencement of the works?","The Minister confirms that the contract for the Junction 8 improvements has been formally executed. Construction is scheduled to commence within one week, with a projected completion date of 12 months from that date."
17/05/2024,23466,Jerome Caruana Cilia,Gozo,Gozo Ferry Terminal - Accessibility Improvements,"Will the Minister table the finalised accessibility plan for the Gozo Ferry Terminal, outlining specific measures to ensure ease of access for individuals with disabilities and mobility limitations?","The Minister is dedicated to ensuring inclusivity at the Gozo Ferry Terminal. The finalised accessibility plan, incorporating feedback from disability advocacy groups, is available for public scrutiny. It details a range of improvements, including ramp installations, accessible waiting areas, and designated parking spaces."
