target,metric_scope,category_id,category_name,evaluated_count,assigned_count,mistral_reference_count,yes_count,no_count,true_positive,false_positive,false_negative,precision,recall,f1,accuracy,based_on_column
question,category,A1,Information-Seeking Questions,51,17,17,17,0,17,0,0,1.0,1.0,1.0,,Question Categorization accuracy
question,category,A2,Assertion / Hidden-Accusation Questions,51,17,16,16,1,16,1,0,0.941176,1.0,0.969697,,Question Categorization accuracy
question,category,A3,Request / Directive Questions,51,17,18,17,0,17,0,1,1.0,0.944444,0.971429,,Question Categorization accuracy
question,macro_average,ALL,All categories,51,51,51,50,1,50,1,1,0.980392,0.981481,0.980375,0.980392,Question Categorization accuracy
question,micro_average,ALL,All categories,51,51,51,50,1,50,1,1,0.980392,0.980392,0.980392,0.980392,Question Categorization accuracy
answer,category,B1,Replies (Direct Answers),49,17,17,17,0,17,0,0,1.0,1.0,1.0,,Answer Categorization accuracy
answer,category,B2,Answers by Implication (Indirect/Partial),49,16,13,13,3,13,3,0,0.8125,1.0,0.896552,,Answer Categorization accuracy
answer,category,B3,Non-Replies (Deferral/Referral/Reroute),49,16,19,16,0,16,0,3,1.0,0.842105,0.914286,,Answer Categorization accuracy
answer,macro_average,ALL,All categories,49,49,49,46,3,46,3,3,0.9375,0.947368,0.936946,0.938776,Answer Categorization accuracy
answer,micro_average,ALL,All categories,49,49,49,46,3,46,3,3,0.938776,0.938776,0.938776,0.938776,Answer Categorization accuracy
