Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
12/03/2024,15420,Ivan Bartolo,Social Policy and Children's Rights,Social Housing - Allocation Transparency,"Can the Minister explain why priority lists for social housing appear to be overlooked in favor of individuals with specific political connections, and what measures are being taken to ensure that the process is actually based on merit and need?","The allocation of social housing is conducted through a rigorous and transparent process based on established socio-economic criteria. All applications are vetted by an independent board to ensure fairness, and the Ministry remains committed to assisting those most in need without prejudice."
15/03/2024,15891,Chris Said,Gozo,Gozo Ferry - Operational Efficiency,"Given the frequent disruptions in the ferry service, can the Minister justify the continued lack of investment in a new vessel while substantial funds are diverted to temporary consultancy roles that have yielded no visible improvements?","The Ministry is dedicated to providing a reliable link between the islands. Investment decisions are guided by long-term strategic planning, and all consultancy services are procured in accordance with public procurement regulations to enhance operational efficiency and service quality."
18/03/2024,16205,Justin Schembri,"Education, Sport, Youth, Research and Innovation",School Infrastructure - Maintenance Backlog,Will the Minister clarify why several primary schools remain in a state of disrepair despite repeated public assurances that maintenance budgets were fully utilized for the benefit of students and staff?,"Maintenance and renovation works are carried out on a rolling basis across the entire educational estate. The Ministry has significantly increased its capital expenditure on school infrastructure, and projects are prioritized based on technical assessments of safety and urgency."
22/03/2024,16540,Jerome Caruana Cilia,"Economy, European Funds and Lands",Industrial Land - Direct Orders,"Can the Minister provide a breakdown of industrial land allocations made via direct order in the last 12 months, and explain how this practice aligns with the principles of fair competition and transparency?","Land allocations are managed by the relevant authority in strict accordance with industrial policy. Direct orders are only utilized in exceptional circumstances where specific strategic requirements necessitate such an approach, always ensuring that the economic benefit to the country is maximized."
25/03/2024,17112,Graziella Attard Previ,Health and Active Ageing,Elderly Care - Staffing Ratios,"Considering the declining staff-to-patient ratios in state-run residential homes, can the Minister explain why recruitment has stalled while administrative overheads continue to rise at an alarming rate?","The Ministry is actively recruiting healthcare professionals to meet the evolving needs of an ageing population. Staffing levels are monitored continuously, and resources are allocated to ensure that the highest standards of care and safety are maintained for all residents."
29/03/2024,17455,Rebekah Borg,Justice and Reform of the Construction Sector,Construction Sites - Enforcement Actions,Why has there been a noticeable decrease in site inspections and enforcement notices despite the visible increase in hazardous construction practices that continue to endanger the public?,"Enforcement agencies have been strengthened with additional personnel and modern technology. Inspection schedules are risk-based, and the authority remains vigilant in ensuring that all safety regulations are strictly followed by developers to protect workers and the general public."
02/04/2024,18002,Ivan Castillo,"Transport, Infrastructure and Public Works",Road Infrastructure - Project Delays,"Can the Minister state why major road projects are consistently exceeding their original timelines and budgets, and whether any penalties have actually been imposed on the contractors responsible for these delays?","Project timelines are subject to various factors, including complex utility upgrades and archaeological discoveries. The Ministry ensures that all contracts include performance clauses, and these are strictly enforced whenever contractual obligations are not met without valid justification."
05/04/2024,18330,Ivan Bartolo,"Home Affairs, Security, Reforms and Equality",Police Force - Resource Allocation,"In light of rising concerns regarding community safety, can the Minister explain why police resources are being diverted to ceremonial duties rather than increasing visible patrols in high-crime areas?","The deployment of police officers is an operational matter for the Commissioner of Police. The force is fully committed to community policing, and resources are strategically distributed to maximize public safety and crime prevention across all localities in Malta and Gozo."
08/04/2024,18674,Chris Said,"Environment, Energy and Regeneration of the Grand Harbour",Waste Management - Recycling Targets,"Given the failure to meet national recycling targets, will the Minister admit that the current waste management strategy is insufficient and remains heavily reliant on landfilling despite environmental promises?","The government is implementing a comprehensive circular economy strategy focused on sustainability. While challenges remain, significant progress has been made in waste separation at source, and new state-of-the-art facilities are being developed to further reduce landfill dependency."
12/04/2024,19100,Justin Schembri,Prime Minister,Public Service - Political Appointments,"Can the Prime Minister justify the continued expansion of the 'persons of trust' list, which appears to bypass the standard Public Service Commission recruitment procedures and undermines the impartiality of the civil service?",Engagements on a trust basis are conducted in accordance with established legal guidelines to fill specific roles that require a particular level of confidence or specialized expertise. This ensures the effective implementation of the government's mandate while maintaining high standards of public service.
