Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
12/05/2023,15420,Ivan Bartolo,Social Policy and Children's Rights,Housing - Waiting List,Can the Minister explain why the waiting list for social housing has increased by 15% despite repeated promises that the new housing projects would eliminate the backlog?,"The Ministry is overseeing the largest social housing project in decades, and while demand remains high due to demographic shifts, several hundred units are nearing completion to address this."
14/06/2023,18231,Rebekah Borg,"Environment, Energy and Regeneration of the Grand Harbour",Waste Management - Contract Awards,"Why was the waste management contract for the northern region awarded to a company that failed the initial technical screening, and what justification is there for this oversight?","The evaluation process was conducted by an independent board in full compliance with public procurement regulations, ensuring that the most economically advantageous tender was selected."
19/09/2023,22105,Chris Said,Gozo,Gozo - Hospital Staffing,Does the Minister agree that the current lack of specialized consultants at the Gozo General Hospital is a direct result of poor long-term planning and a failure to retain local talent?,"Staffing levels in Gozo are monitored constantly, and the Ministry has recently introduced new incentives to attract specialists to work permanently on the island."
02/10/2023,23567,Justin Schembri,"Education, Sport, Youth, Research and Innovation",School Maintenance - Delayed Works,"Can the Minister justify the decision to start major structural works in three primary schools just two weeks before the start of the scholastic year, causing significant disruption to students?","The works were scheduled as part of an emergency maintenance program following summer inspections, and all measures were taken to ensure that the educational environment remained safe and functional."
15/11/2023,25890,Jerome Caruana Cilia,"Economy, European Funds and Lands",Land Transfer - Commercial Use,Why was a prime piece of public land in the industrial zone transferred to a private entity at a price significantly below the market value established by independent auditors?,The land transfer was conducted through the Lands Authority in accordance with established legal frameworks that account for the economic investment and job creation promised by the developer.
21/11/2023,26112,Graziella Attard Previ,"Home Affairs, Security, Reforms and Equality",Police Force - Recruitment,Is the Minister aware that the recent mass resignation of mid-level officers suggests a crisis in morale and leadership within the force that is being ignored by the administration?,"The Ministry remains committed to the welfare of our police officers, and while some attrition is normal, we have seen a record number of new recruits entering the academy this year."
05/12/2023,27430,Ivan Castillo,"Transport, Infrastructure and Public Works",Road Infrastructure - Budget Overruns,Can the Minister explain how the budget for the new arterial road project exceeded the original estimate by 40% before the first phase was even completed?,"Unforeseen geological challenges and the need to upgrade underlying utility services, which were in a worse state than records indicated, necessitated the additional expenditure."
10/01/2024,29150,Rebekah Borg,Justice and Reform of the Construction Sector,Construction Safety - Inspections,"Given the rise in building site accidents, does the Minister concede that current inspection levels are insufficient and that the regulatory body is under-resourced?",The Building and Construction Authority has recently doubled its inspectorate staff and is implementing stricter fine structures to ensure compliance across all sites.
22/01/2024,30211,Chris Said,Health and Active Ageing,Elderly Care - Private Contracts,Why is the Ministry continuing to outsource elderly care services to private providers who have consistently failed to meet the basic nutritional and hygiene standards in recent audits?,"All private contractors are subject to rigorous monitoring by the Social Care Standards Authority, and any deficiencies identified are met with strict rectification orders and penalties."
04/02/2024,31445,Justin Schembri,Prime Minister,Public Appointments - Criteria,Will the Prime Minister clarify if the latest round of board appointments was based on technical merit or if political affiliation remains the primary criterion for public service?,All appointments to public boards are made following a review of the candidates' qualifications and their ability to contribute to the strategic goals of the respective entities.
18/02/2024,32678,Ivan Bartolo,Social Policy and Children's Rights,Poverty - Statistical Discrepancies,How does the Minister reconcile the official figures claiming a reduction in poverty with the fact that local food banks are reporting a 30% increase in demand from working families?,"While global inflationary pressures are real, the government’s targeted benefits and energy subsidies have protected thousands of households from falling below the poverty line."
01/03/2024,33900,Jerome Caruana Cilia,"Economy, European Funds and Lands",EU Funding - Absorption Rates,"Can the Minister explain why several major EU-funded environmental projects are currently on hold, risking the loss of millions in grants due to administrative delays?","The projects are progressing according to revised timelines agreed upon with the European Commission, and the Ministry is confident that all allocated funds will be fully utilized."
15/03/2024,34120,Graziella Attard Previ,Health and Active Ageing,Mental Health - Facility Conditions,"Does the Minister find the deteriorating physical state of the national psychiatric ward acceptable for patient recovery, or is mental health not a priority for this administration?","Mental health remains a core priority, which is why a multi-million euro refurbishment plan is currently underway to modernize the facilities and provide a more therapeutic environment."
28/03/2024,35234,Ivan Castillo,"Transport, Infrastructure and Public Works",Public Transport - Service Frequency,Why has the frequency of bus routes in southern localities decreased significantly despite the increased annual subsidy paid to the private transport operator?,"The transport operator adjusts frequencies based on real-time passenger data, and the Ministry is in discussions to ensure that service levels meet the needs of all communities."
10/04/2024,36450,Rebekah Borg,Justice and Reform of the Construction Sector,Legal Aid - Resource Allocation,Is it true that the legal aid system is currently failing the most vulnerable citizens because the Ministry has failed to adjust the compensation rates for participating lawyers?,"The Legal Aid Agency has seen a significant budget increase this year, and we are currently reviewing the fee structure to ensure a high quality of representation for all eligible citizens."
22/04/2024,37110,Chris Said,Gozo,Gozo - Ferry Services,"Why was the fourth ferry vessel leased without a public call for tenders, and can the Minister justify the exceptionally high daily charter rate being paid?",The vessel was procured under emergency provisions to ensure the continuity of the essential link between the islands while one of the regular vessels was undergoing mandatory dry-docking.
05/05/2024,38567,Justin Schembri,"Education, Sport, Youth, Research and Innovation",Literacy Rates - Primary Schools,"Can the Minister explain the steady decline in literacy rates in state primary schools over the last three years, and will he admit that current policies are failing?","We are introducing new pedagogical strategies and increased literacy support hours to address the diverse needs of our student population, which has been impacted by the disruptions of recent years."
