Category ID,Category Name,Category Type,Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
A1,Information-Seeking Questions,question,15/03/2024,12450,Ivan Bartolo,"Education, Sport, Youth, Research and Innovation",Digital Literacy Programme - Participation Rate,"Could the Minister state how many primary and secondary school students participated in the Digital Literacy Programme during the academic year 2023/2024, broken down by region?","A total of 27,450 primary school students and 22,890 secondary school students participated in the Digital Literacy Programme during the academic year 2023/2024. Participation was highest in the Northern and Southern regions."
A1,Information-Seeking Questions,question,22/03/2024,12451,Chris Said,Health and Active Ageing,Long-Term Care Beds - Availability,"How many long-term care beds are currently available in public and private long-term care facilities across Malta, and how many of these are occupied as of the latest data?","As of 20/03/2024, there are 3,150 long-term care beds available in public facilities, with 2,980 occupied, and 1,890 beds in private facilities, with 1,760 occupied."
A1,Information-Seeking Questions,question,28/03/2024,12452,Justin Schembri,"Transport, Infrastructure and Public Works",Roadworks - Completion Timeline,What is the expected completion timeline for the ongoing roadworks along Triq iż-Żgħażagħ in Qormi and Triq il-Kbira in Rabat?,"The roadworks along Triq iż-Żgħażagħ in Qormi are expected to be completed by 30/06/2024, while the works along Triq il-Kbira in Rabat are projected to finish by 15/08/2024."
A1,Information-Seeking Questions,question,05/04/2024,12453,Jerome Caruana Cilia,"Environment, Energy and Regeneration of the Grand Harbour",Green Spaces - Restoration Projects,"How many active restoration projects for green spaces are currently underway by the Ministry, and what is the total acreage covered by these projects?","There are 12 active restoration projects for green spaces, covering a total acreage of 45.7 hectares."
A1,Information-Seeking Questions,question,12/04/2024,12454,Graziella Attard Previ,Social Policy and Children's Rights,Child Benefit - Payment Schedule,"Please provide the payment schedule for the Child Benefit for the year 2024, including the specific dates for each quarterly payment.","The Child Benefit payment schedule for 2024 is as follows: Q1 - 15/04/2024, Q2 - 15/07/2024, Q3 - 15/10/2024, and Q4 - 15/01/2025."
A1,Information-Seeking Questions,question,18/04/2024,12455,Rebekah Borg,"Home Affairs, Security, Reforms and Equality",Police Stations - Upgrades,"Which police stations in Malta have been earmarked for structural upgrades in 2024, and what is the allocated budget for each station?","The police stations earmarked for upgrades in 2024 are St. Julian’s, Sliema, Mosta, and Gozo, with allocated budgets of €2.1 million, €1.8 million, €1.5 million, and €1.2 million respectively."
A1,Information-Seeking Questions,question,25/04/2024,12456,Ivan Castillo,"Economy, European Funds and Lands",SME Grants - Approval Rate,"How many applications for SME grants were submitted in 2023, and what percentage of these were approved?","A total of 1,240 applications for SME grants were submitted in 2023, of which 89% (1,104 applications) were approved."
A1,Information-Seeking Questions,question,02/05/2024,12457,Ivan Bartolo,Prime Minister,National Identity Cards - Processing Times,What is the current average processing time for the issuance of national identity cards in Malta as of April 2024?,"As of April 2024, the average processing time for the issuance of national identity cards is 12 working days."
A1,Information-Seeking Questions,question,09/05/2024,12458,Chris Said,Justice and Reform of the Construction Sector,Building Permits - Approval Duration,What is the average duration from application to approval for building permits in Gozo as compared to Malta over the past two years?,"In Gozo, the average duration for building permit approval is 84 days, while in Malta, it is 72 days over the past two years."
A1,Information-Seeking Questions,question,16/05/2024,12459,Justin Schembri,Gozo,Public Transport Frequency - Gozo,What is the current frequency of public transport services in Gozo during peak and off-peak hours?,"During peak hours, public transport services in Gozo operate every 15-20 minutes, while during off-peak hours, the frequency is every 30-45 minutes."
A2,Assertion / Hidden-Accusation Questions,question,15/03/2024,12456,Ivan Bartolo,Justice and Reform of the Construction Sector,Delays in Processing Construction Permits - Lack of Transparency,"To ask the Minister responsible for Justice and Reform of the Construction Sector what measures are being taken to address the alarming backlog in construction permit applications, with reports indicating processing times exceeding 18 months, and whether there is a lack of transparency in prioritisation criteria?","The Ministry acknowledges the importance of timely processing of construction permits and is implementing measures to streamline procedures. A dedicated task force has been established to assess and expedite applications. Prioritisation is based on statutory deadlines and critical project timelines, with full transparency maintained through quarterly updates on the Ministry's official website."
