Category ID,Category Name,Category Type,Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
A1,Information-Seeking Questions,question,15/05/2023,12450,Ivan Bartolo,Social Policy and Children's Rights,Social Housing - Units in Birkirkara,Can the Minister state the number of social housing units currently under construction in Birkirkara and provide an estimated date for their completion?,"I am informed that there are currently 42 social housing units being constructed in the Birkirkara area, with structural works nearing completion. It is anticipated that these units will be ready for allocation by the end of the fourth quarter of 2024."
A1,Information-Seeking Questions,question,18/05/2023,13210,Chris Said,Gozo,Road Maintenance - Victoria,"Can the Minister provide a list of roads in Victoria, Gozo scheduled for resurfacing in the next six months under the current regional infrastructure program?",The Ministry plans to resurface Triq l-Imgħallem and Triq San Ġorġ during the next two quarters. These works are part of the ongoing commitment to improve the secondary road network within the Gozitan capital.
A1,Information-Seeking Questions,question,22/05/2023,14567,Justin Schembri,"Education, Sport, Youth, Research and Innovation",School Repairs - Primary Schools,Can the Minister list the primary schools that underwent structural repairs or major maintenance during the 2022/2023 scholastic year?,"During the 2022/2023 scholastic year, structural repairs and major maintenance were carried out in 14 primary schools, including facilities in Qormi, Żabbar, and Mellieħa, to ensure a safe learning environment."
A1,Information-Seeking Questions,question,01/06/2023,15890,Jerome Caruana Cilia,"Economy, European Funds and Lands",Industrial Parks - Marsa,Can the Minister state the current occupancy rate of the Marsa Industrial Estate and the number of active commercial tenants currently registered there?,"As of May 2023, the occupancy rate of the Marsa Industrial Estate stands at 94%. There are currently 112 active commercial tenants operating within the estate across various industrial sectors."
A1,Information-Seeking Questions,question,05/06/2023,16234,Graziella Attard Previ,Health and Active Ageing,Elderly Care - Respite Services,Can the Minister provide the number of elderly persons currently on the waiting list for residential respite services in government-run facilities?,There are currently 85 individuals registered on the waiting list for residential respite services across all government-funded elderly care facilities. Efforts are being made to increase bed capacity through public-private partnerships.
A1,Information-Seeking Questions,question,12/06/2023,17456,Rebekah Borg,"Environment, Energy and Regeneration of the Grand Harbour",Waste Management - Recycling Tonnage,Can the Minister provide the total tonnage of plastic waste collected through the 'Grey Bag' scheme during the calendar year 2022?,"In 2022, a total of 12,450 tonnes of plastic waste was collected and processed through the nationwide door-to-door recycling scheme, representing a 5% increase over the previous year."
A1,Information-Seeking Questions,question,15/06/2023,18901,Ivan Castillo,"Transport, Infrastructure and Public Works",Public Transport - Route 13A,Can the Minister provide the average frequency of Route 13A during peak morning hours and state if there are plans to increase the number of trips?,Route 13A operates with a frequency of every 15 minutes between 07:00 and 09:00 on weekdays. The authority is currently reviewing passenger data to determine if additional trips are required for the winter schedule.
A1,Information-Seeking Questions,question,20/06/2023,19543,Ivan Bartolo,"Home Affairs, Security, Reforms and Equality",Community Policing - Mosta,Can the Minister state the number of police officers currently assigned to the Community Policing team in the locality of Mosta?,The Mosta Community Policing team currently consists of one sergeant and six constables. This team is supported by the district police and the Rapid Intervention Unit when necessary.
A1,Information-Seeking Questions,question,25/06/2023,20112,Chris Said,Justice and Reform of the Construction Sector,Construction - Site Inspections,Can the Minister state how many site inspections were conducted by the Building and Construction Authority in Gozo during the month of April 2023?,"During April 2023, the Building and Construction Authority carried out 142 site inspections across various localities in Gozo to ensure compliance with safety and environmental regulations."
A1,Information-Seeking Questions,question,30/06/2023,21876,Justin Schembri,"Education, Sport, Youth, Research and Innovation",Sports Facilities - National Pool,Can the Minister state the total expenditure on maintenance and equipment upgrades for the National Pool Complex in the year 2022?,"The total expenditure for maintenance and equipment upgrades at the National Pool Complex in 2022 amounted to €315,000, which included the installation of new heating systems and pool filtration components."
A1,Information-Seeking Questions,question,03/07/2023,22543,Jerome Caruana Cilia,Prime Minister,Public Sector - New Recruits,Can the Prime Minister state how many new employees were recruited into the public service between January and June 2023?,"A total of 412 new employees joined the public service in the first six months of 2023. These recruitments were primarily intended to fill vacancies in health, education, and regulatory sectors."
A1,Information-Seeking Questions,question,07/07/2023,23980,Graziella Attard Previ,Social Policy and Children's Rights,Childcare - Enrollment Numbers,Can the Minister provide the number of children currently enrolled in the Free Childcare Scheme as of the end of June 2023?,"As of the end of June 2023, there were 7,842 children benefiting from the Free Childcare Scheme, which includes both government-run and private centers participating in the program."
A1,Information-Seeking Questions,question,12/07/2023,24561,Rebekah Borg,Health and Active Ageing,Health - MRI Wait Times,Can the Minister state the average waiting time for a non-urgent MRI scan at Mater Dei Hospital for patients referred in the last quarter?,The current average waiting time for a non-urgent MRI scan is approximately 14 weeks. Urgent cases continue to be prioritized and are typically seen within 48 to 72 hours.
A1,Information-Seeking Questions,question,15/07/2023,25872,Ivan Castillo,"Economy, European Funds and Lands",SME Grants - Tech Startups,Can the Minister state the total amount of funds disbursed to tech startups through Malta Enterprise grants in the calendar year 2022?,"In 2022, Malta Enterprise disbursed a total of €2.1 million in grants and tax credits to 18 tech-oriented startups through various schemes designed to encourage innovation."
A1,Information-Seeking Questions,question,20/07/2023,26789,Chris Said,Gozo,Tourism - Gozo Cultural Events,Can the Minister provide the total budget allocated for cultural events in Gozo for the summer season of 2023?,"The Ministry for Gozo has allocated a budget of €450,000 for the organization and support of cultural events during the 2023 summer season, including the Opera in the City and various village festivals."
A1,Information-Seeking Questions,question,25/07/2023,27432,Justin Schembri,"Education, Sport, Youth, Research and Innovation",Digital Literacy - Laptop Distribution,Can the Minister state how many laptops were distributed to Year 7 students during the current scholastic year under the digital literacy initiative?,"Under the current digital literacy program, 5,200 laptops were distributed to Year 7 students in state, church, and independent schools during the 2022/2023 scholastic year."
A1,Information-Seeking Questions,question,28/07/2023,28110,Ivan Bartolo,"Transport, Infrastructure and Public Works",Maritime - Yacht Berths,Can the Minister provide the number of new yacht berths created in the Grand Harbour area over the last 24 months?,"Over the past 24 months, 120 additional yacht berths have been established through the refurbishment of existing quays and new pontoon installations in various parts of the Grand Harbour."
A2,Assertion / Hidden-Accusation Questions,question,12/05/2023,15420,Ivan Bartolo,Social Policy and Children's Rights,Housing - Waiting List,Can the Minister explain why the waiting list for social housing has increased by 15% despite repeated promises that the new housing projects would eliminate the backlog?,"The Ministry is overseeing the largest social housing project in decades, and while demand remains high due to demographic shifts, several hundred units are nearing completion to address this."
A2,Assertion / Hidden-Accusation Questions,question,14/06/2023,18231,Rebekah Borg,"Environment, Energy and Regeneration of the Grand Harbour",Waste Management - Contract Awards,"Why was the waste management contract for the northern region awarded to a company that failed the initial technical screening, and what justification is there for this oversight?","The evaluation process was conducted by an independent board in full compliance with public procurement regulations, ensuring that the most economically advantageous tender was selected."
A2,Assertion / Hidden-Accusation Questions,question,19/09/2023,22105,Chris Said,Gozo,Gozo - Hospital Staffing,Does the Minister agree that the current lack of specialized consultants at the Gozo General Hospital is a direct result of poor long-term planning and a failure to retain local talent?,"Staffing levels in Gozo are monitored constantly, and the Ministry has recently introduced new incentives to attract specialists to work permanently on the island."
A2,Assertion / Hidden-Accusation Questions,question,02/10/2023,23567,Justin Schembri,"Education, Sport, Youth, Research and Innovation",School Maintenance - Delayed Works,"Can the Minister justify the decision to start major structural works in three primary schools just two weeks before the start of the scholastic year, causing significant disruption to students?","The works were scheduled as part of an emergency maintenance program following summer inspections, and all measures were taken to ensure that the educational environment remained safe and functional."
A2,Assertion / Hidden-Accusation Questions,question,15/11/2023,25890,Jerome Caruana Cilia,"Economy, European Funds and Lands",Land Transfer - Commercial Use,Why was a prime piece of public land in the industrial zone transferred to a private entity at a price significantly below the market value established by independent auditors?,The land transfer was conducted through the Lands Authority in accordance with established legal frameworks that account for the economic investment and job creation promised by the developer.
A2,Assertion / Hidden-Accusation Questions,question,21/11/2023,26112,Graziella Attard Previ,"Home Affairs, Security, Reforms and Equality",Police Force - Recruitment,Is the Minister aware that the recent mass resignation of mid-level officers suggests a crisis in morale and leadership within the force that is being ignored by the administration?,"The Ministry remains committed to the welfare of our police officers, and while some attrition is normal, we have seen a record number of new recruits entering the academy this year."
A2,Assertion / Hidden-Accusation Questions,question,05/12/2023,27430,Ivan Castillo,"Transport, Infrastructure and Public Works",Road Infrastructure - Budget Overruns,Can the Minister explain how the budget for the new arterial road project exceeded the original estimate by 40% before the first phase was even completed?,"Unforeseen geological challenges and the need to upgrade underlying utility services, which were in a worse state than records indicated, necessitated the additional expenditure."
A2,Assertion / Hidden-Accusation Questions,question,10/01/2024,29150,Rebekah Borg,Justice and Reform of the Construction Sector,Construction Safety - Inspections,"Given the rise in building site accidents, does the Minister concede that current inspection levels are insufficient and that the regulatory body is under-resourced?",The Building and Construction Authority has recently doubled its inspectorate staff and is implementing stricter fine structures to ensure compliance across all sites.
A2,Assertion / Hidden-Accusation Questions,question,22/01/2024,30211,Chris Said,Health and Active Ageing,Elderly Care - Private Contracts,Why is the Ministry continuing to outsource elderly care services to private providers who have consistently failed to meet the basic nutritional and hygiene standards in recent audits?,"All private contractors are subject to rigorous monitoring by the Social Care Standards Authority, and any deficiencies identified are met with strict rectification orders and penalties."
A2,Assertion / Hidden-Accusation Questions,question,04/02/2024,31445,Justin Schembri,Prime Minister,Public Appointments - Criteria,Will the Prime Minister clarify if the latest round of board appointments was based on technical merit or if political affiliation remains the primary criterion for public service?,All appointments to public boards are made following a review of the candidates' qualifications and their ability to contribute to the strategic goals of the respective entities.
A2,Assertion / Hidden-Accusation Questions,question,18/02/2024,32678,Ivan Bartolo,Social Policy and Children's Rights,Poverty - Statistical Discrepancies,How does the Minister reconcile the official figures claiming a reduction in poverty with the fact that local food banks are reporting a 30% increase in demand from working families?,"While global inflationary pressures are real, the government’s targeted benefits and energy subsidies have protected thousands of households from falling below the poverty line."
A2,Assertion / Hidden-Accusation Questions,question,01/03/2024,33900,Jerome Caruana Cilia,"Economy, European Funds and Lands",EU Funding - Absorption Rates,"Can the Minister explain why several major EU-funded environmental projects are currently on hold, risking the loss of millions in grants due to administrative delays?","The projects are progressing according to revised timelines agreed upon with the European Commission, and the Ministry is confident that all allocated funds will be fully utilized."
A2,Assertion / Hidden-Accusation Questions,question,15/03/2024,34120,Graziella Attard Previ,Health and Active Ageing,Mental Health - Facility Conditions,"Does the Minister find the deteriorating physical state of the national psychiatric ward acceptable for patient recovery, or is mental health not a priority for this administration?","Mental health remains a core priority, which is why a multi-million euro refurbishment plan is currently underway to modernize the facilities and provide a more therapeutic environment."
A2,Assertion / Hidden-Accusation Questions,question,28/03/2024,35234,Ivan Castillo,"Transport, Infrastructure and Public Works",Public Transport - Service Frequency,Why has the frequency of bus routes in southern localities decreased significantly despite the increased annual subsidy paid to the private transport operator?,"The transport operator adjusts frequencies based on real-time passenger data, and the Ministry is in discussions to ensure that service levels meet the needs of all communities."
A2,Assertion / Hidden-Accusation Questions,question,10/04/2024,36450,Rebekah Borg,Justice and Reform of the Construction Sector,Legal Aid - Resource Allocation,Is it true that the legal aid system is currently failing the most vulnerable citizens because the Ministry has failed to adjust the compensation rates for participating lawyers?,"The Legal Aid Agency has seen a significant budget increase this year, and we are currently reviewing the fee structure to ensure a high quality of representation for all eligible citizens."
A2,Assertion / Hidden-Accusation Questions,question,22/04/2024,37110,Chris Said,Gozo,Gozo - Ferry Services,"Why was the fourth ferry vessel leased without a public call for tenders, and can the Minister justify the exceptionally high daily charter rate being paid?",The vessel was procured under emergency provisions to ensure the continuity of the essential link between the islands while one of the regular vessels was undergoing mandatory dry-docking.
