Date,PQ No.,MP,Question (EN),Answer (EN)
15/03/2024,23457,Chris Said,Topic - Waste Management - Landfill Capacity,"Minister for Environment, Energy and Regeneration of the Grand Harbour confirms that the current landfill capacity remains sufficient to accommodate projected waste volumes for the next five years, based on established modelling and projected population growth."
22/03/2024,23458,Ivan Bartolo,Topic - Education - School Infrastructure - Primary Schools,"The Minister for Education, Sport, Youth, Research and Innovation states that no further primary school infrastructure projects are currently scheduled for approval or commencement within the next 18 months, pending the completion of the ongoing assessments of existing school needs."
29/03/2024,23459,Justin Schembri,Topic - Home Affairs - Police Training - New Recruit Standards,"Home Affairs, Security, Reforms and Equality assures the House that new recruit standards for the Malta Police Force are continuously reviewed and updated in accordance with best international practices, with the latest revisions implemented in January 2024."
05/04/2024,23460,Jerome Caruana Cilia,Topic - Economy - EU Funding - Regeneration Projects,"The Minister for Economy, European Funds and Lands reports that 92% of allocated funds for Grand Harbour regeneration projects have been successfully disbursed, with the remaining 8% currently under review due to unforeseen archaeological findings."
12/04/2024,23461,Graziella Attard Previ,Topic - Social Policy - Elderly Care - Residential Facilities,"Social Policy and Children's Rights confirms that a further 20 residential care facilities for the elderly will be constructed over the next five years, following the successful completion of the tender process."
19/04/2024,23462,Rebekah Borg,Topic - Transport - Public Transport - Bus Route Optimization,"Transport, Infrastructure and Public Works confirms that a comprehensive review of all public bus routes is ongoing, with preliminary recommendations expected to be presented to the House within the next six weeks."
26/04/2024,23463,Ivan Castillo,Topic - Health - Waiting Lists - Specialist Appointments,"Health and Active Ageing reports that specialist appointment waiting times are currently averaging 18 weeks, a reduction of 7% compared to the previous quarter, due to increased staffing levels and streamlined appointment scheduling."
03/05/2024,23464,Chris Said,Topic - Gozo - Tourism Infrastructure - Marsalforn Harbour,"The Minister for Gozo confirms that the project to upgrade the Marsalforn Harbour is progressing according to schedule and is expected to be completed by December 2024, significantly enhancing tourism facilities."
10/05/2024,23465,Justin Schembri,Topic - Justice - Legal Aid - Application Volume,"Home Affairs, Security, Reforms and Equality reports that the volume of legal aid applications received in the past year has increased by 12%, reflecting the ongoing commitment to ensuring access to justice for all citizens."
17/05/2024,23466,Jerome Caruana Cilia,Topic - Economy - Investment - Foreign Direct Investment,"The Minister for Economy, European Funds and Lands affirms that Malta continues to attract significant levels of foreign direct investment, with a projected increase of 8% for the current fiscal year."
