row_index,target,assigned_category_id,assigned_category_name,predicted_category_id,predicted_category_name,accurate,confidence,rationale
0,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
1,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
2,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
3,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
4,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
5,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
6,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
7,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
8,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
9,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
10,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
11,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
12,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
13,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
14,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
15,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
16,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,
17,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,,One concise sentence
18,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,,one concise sentence
19,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,low,Information-Seeking Questions
20,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,,
21,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,low,Information-Seeking Questions
22,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,low,Information-Seeking Questions
23,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,,one concise sentence
24,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,,
25,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,low,Information-Seeking Questions
26,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,low,Information-Seeking Questions
27,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,,One concise sentence
28,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,,
29,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,low,Information-Seeking Questions
30,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,,
31,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,,one concise sentence
32,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,,
33,question,A3,Request / Directive Questions,A1,Information-Seeking Questions,no,,one concise sentence
34,question,A3,Request / Directive Questions,A1,Information-Seeking Questions,no,,one concise sentence
