Date,PQ No.,MP,Question (EN),Answer (EN)
14/05/2024,12345,Ivan Bartolo,Funding Allocation - Deferred Payment Schedule for 2024 Rehabilitation Works,"The matter raised pertains to operational matters within the Ministry for Justice and Reform of the Construction Sector. The Honourable Member is kindly requested to refer to the upcoming session on 22/05/2024, when a detailed reply will be provided by the Parliamentary Secretary responsible for this portfolio."
20/06/2024,18765,Chris Said,Policy Review - Implementation Timeline for Renewable Energy Transition,"The question raised falls under the remit of the Ministry for the Environment, Energy and Regeneration of the Grand Harbour. The Honourable Member is advised that this matter will be addressed in the forthcoming parliamentary sitting on 03/07/2024."
11/07/2024,24567,Justin Schembri,Student Support - Review of Maintenance Grants for Tertiary Education,"The issue raised is directly related to the portfolio of the Ministry for Education, Sport, Youth, Research and Innovation. The Honourable Member is invited to consult the reply to be delivered during the sitting scheduled for 18/07/2024."
30/08/2024,31234,Jerome Caruana Cilia,Security Protocols - Upcoming Changes to Police Oversight Mechanisms,"The topic falls under the ambit of the Ministry for Home Affairs, Security, Reforms and Equality. The Honourable Member will receive a comprehensive response at the next appropriate parliamentary session."
05/09/2024,34568,Graziella Attard Previ,Child Welfare - Review of Foster Care Support Structures,The question relates to the responsibilities of the Ministry for Social Policy and Children's Rights. A detailed explanation will be provided when this matter is taken up in the House on 12/09/2024.
22/10/2024,37890,Rebekah Borg,Health Services - Future Expansion Plans for Mater Dei Hospital,The matter raised is pertinent to the Ministry for Health and Active Ageing. The Honourable Member is directed to await the formal response to be delivered during the sitting on 29/10/2024.
07/11/2024,40123,Ivan Castillo,Economic Diversification - Incentives for Emerging Technology Sectors,"The question pertains to the jurisdiction of the Ministry for Economy, European Funds and Lands. The Honourable Member is advised that this will be addressed in the next parliamentary sitting on 14/11/2024."
19/12/2024,41234,Ivan Bartolo,Transport Strategy - Long-Term Road Network Development Plan,"The issue falls within the remit of the Ministry for Transport, Infrastructure and Public Works. The Honourable Member is kindly requested to refer to the reply to be presented on 09/01/2025."
13/02/2025,42345,Chris Said,Gozo Connectivity - Future Ferry Service Enhancements,The matter relates to the responsibilities of the Ministry for Gozo. The Honourable Member will receive a full response during the parliamentary sitting of 20/02/2025.
28/03/2025,43456,Jerome Caruana Cilia,Public Sector Reform - Progress on Digitalisation Initiatives,The question falls under the purview of the Office of the Prime Minister. The Honourable Member is advised that this matter will be addressed in due course.
