Date,PQ No.,MP,Question (EN),Answer (EN)
15/03/2024,23457,Ivan Bartolo,Topic - Funding for Coastal Erosion Mitigation - Assessment of Current Strategies,The Minister acknowledges the importance of this matter and confirms that a thorough review is underway.
22/03/2024,18792,Chris Said,Topic - Implementation of the National Waste Management Strategy - Progress Report,The Minister indicates that this query will be addressed following further consultation.
29/03/2024,31201,Justin Schembri,Topic - Accessibility of Public Buildings - Compliance with Standards,The Minister confirms that this issue will be thoroughly investigated.
05/04/2024,45819,Jerome Caruana Cilia,Topic - Digital Literacy Programmes - Outreach to Vulnerable Groups,The Minister states that a comprehensive response will be provided at the next sitting.
12/04/2024,27638,Graziella Attard Previ,Topic - Support for Individuals with Disabilities - Service Delivery,The Minister confirms that this matter will be examined in detail.
19/04/2024,39145,Rebekah Borg,Topic - Safeguarding of Children in Sports - Risk Mitigation,The Minister confirms that this is a matter requiring further consideration.
26/04/2024,15309,Ivan Castillo,Topic - Renewable Energy Investment - Community Engagement,The Minister notes the importance of this inquiry and commits to a detailed response.
03/05/2024,21876,Chris Said,Topic - Enforcement of Planning Regulations - Regional Discrepancies,The Minister indicates that this matter will be referred to the appropriate department.
10/05/2024,35420,Justin Schembri,Topic - Public Transport Route Optimization - Demand Analysis,The Minister confirms that this issue will be addressed in the context of a broader transport review.
17/05/2024,48913,Jerome Caruana Cilia,Topic - School Infrastructure Maintenance - Prioritization of Repairs,The Minister confirms that this will be reviewed following a consultation with the Education Minister.
