row_index,target,assigned_category_id,assigned_category_name,predicted_category_id,predicted_category_name,accurate,confidence,rationale
0,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks specific factual data (counts and breakdown) without any implied criticism or directive.
1,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question requests a specific date for a scheduled action, which is a factual inquiry."
2,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question asks for a list of schools receiving equipment, which is a neutral request for factual information."
3,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks a specific statistic (occupancy rate) without any implied criticism or directive.
4,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question requests a specific factual detail (bed capacity) without any implied criticism or directive.
5,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks a specific factual count of enforcement officers.
6,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question requests a list of specific items (firefighting vehicles) purchased in a defined timeframe.
7,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question asks for specific locations of newly installed infrastructure.
8,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks a factual count of trees planted in a specific region and timeframe.
9,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question requests a specific numerical count of participants in a program.
10,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks a specific factual count of new recruits.
11,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question requests a specific numerical statistic about approved applications.
12,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question asks for a specific monetary amount disbursed to SMEs.
13,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question requests a specific passenger count for a defined service.
14,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question seeks a specific list of out-of-stock medicines, which is a factual request."
15,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks a specific factual count of cleaned and restored reservoirs.
16,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question requests a specific number of localities served by Community Policing teams.
17,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question implies criticism of project prioritization and failure in road maintenance.
18,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question challenges the effectiveness of the social housing strategy with an implied accusation of failure.
19,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,"The question suggests oversight of safety regulations and favors development, implying criticism."
20,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question implies criticism of the Ministry's failure to act despite warnings.
21,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question challenges the Minister's inaction with an implied accusation of negligence.
22,question,A2,Assertion / Hidden-Accusation Questions,A3,Request / Directive Questions,no,high,"The question explicitly requests a detailed list of direct orders, fitting a directive category."
23,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,"The question suggests the program is a PR exercise, implying criticism of its effectiveness."
24,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question implies inadequacy of the current system with an accusatory tone.
25,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question implies criticism of the government's handling of the fast ferry service while asking for justification.
26,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,"The question challenges the Minister's belief in achievable targets and criticizes enforcement, implying accountability."
27,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,"The question accuses the government of diverting funds and delays in promised repairs, implying hidden criticism."
28,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,"The question implies the Minister is failing to provide adequate staffing for domestic violence units, a hidden accusation."
29,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,"The question challenges the Prime Minister's appointments and implies a lack of meritocracy, a clear hidden accusation."
30,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question implies criticism by suggesting designs prioritize speed over safety.
31,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question frames the backlog as a 'crisis' and challenges the Minister's acceptance of responsibility.
32,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question implies systemic failure by suggesting the primary healthcare system is not redirecting non-urgent cases.
33,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question accuses consultations of being a 'box-ticking' exercise and challenges their legitimacy.
34,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question explicitly requests a detailed schedule, fitting the directive category."
35,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question explicitly requests the Minister to table a specific list, making it a directive."
36,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question asks for a list of projects and dates, which is a directive request for information."
37,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question demands the publication of a detailed expenditure breakdown, a clear directive."
38,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question requests the tabling of lease agreements, a directive action."
39,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question asks for a list of medical equipment, which is a directive request for information."
40,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question explicitly requests the Minister to confirm and table a contract, which is a directive action."
41,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question asks for a breakdown of staffing levels, which is a directive request for specific documentation."
