target,metric_scope,category_id,category_name,evaluated_count,assigned_count,ollama_reference_count,yes_count,no_count,true_positive,false_positive,false_negative,precision,recall,f1,accuracy,based_on_column
question,category,A1,Information-Seeking Questions,50,17,49,17,0,17,32,0,0.346939,1.0,0.515152,,Question Categorization accuracy
question,category,A2,Assertion / Hidden-Accusation Questions,50,16,0,0,16,0,0,16,0.0,0.0,0.0,,Question Categorization accuracy
question,category,A3,Request / Directive Questions,50,17,1,1,16,1,0,16,1.0,0.058824,0.111111,,Question Categorization accuracy
question,macro_average,ALL,All categories,50,50,50,18,32,18,32,32,0.44898,0.352941,0.208754,0.36,Question Categorization accuracy
question,micro_average,ALL,All categories,50,50,50,18,32,18,32,32,0.36,0.36,0.36,0.36,Question Categorization accuracy
answer,category,B1,Replies (Direct Answers),46,17,46,17,0,17,29,0,0.369565,1.0,0.539683,,Answer Categorization accuracy
answer,category,B2,Answers by Implication (Indirect/Partial),46,13,0,0,13,0,0,13,0.0,0.0,0.0,,Answer Categorization accuracy
answer,category,B3,Non-Replies (Deferral/Referral/Reroute),46,16,0,0,16,0,0,16,0.0,0.0,0.0,,Answer Categorization accuracy
answer,macro_average,ALL,All categories,46,46,46,17,29,17,29,29,0.123188,0.333333,0.179894,0.369565,Answer Categorization accuracy
answer,micro_average,ALL,All categories,46,46,46,17,29,17,29,29,0.369565,0.369565,0.369565,0.369565,Answer Categorization accuracy
