category_id,category_name,approach,n,temperature,provider,model_name,status,error,timestamp,schema_valid_rate,date_format_valid_rate,pq_no_numeric_rate,mp_allowed_rate,ministry_allowed_rate,non_empty_question_rate,non_empty_answer_rate,duplicate_row_ratio,avg_question_length,avg_answer_length,overall_score
A1,Information-Seeking Questions,zero_shot,10.0,0.7,ollama,gemma3:4b,success,,2026-05-07T18:13:50Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,191.0,258.4,1.0
A2,Assertion / Hidden-Accusation Questions,zero_shot,10.0,0.7,ollama,gemma3:4b,success,,2026-05-07T18:13:57Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,213.1,235.2,1.0
A3,Request / Directive Questions,zero_shot,10.0,0.7,ollama,gemma3:4b,success,,2026-05-07T18:14:04Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,192.9,331.8,1.0
B1,Replies (Direct Answers),zero_shot,10.0,0.7,ollama,gemma3:4b,success,,2026-05-07T18:14:09Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,55.7,234.4,1.0
B2,Answers by Implication (Indirect/Partial),zero_shot,10.0,0.7,ollama,gemma3:4b,success,,2026-05-07T18:14:15Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,118.1,222.7,1.0
B3,Non-Replies (Deferral/Referral/Reroute),zero_shot,10.0,0.7,ollama,gemma3:4b,success,,2026-05-07T18:14:19Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,68.3,86.6,1.0
A1,Information-Seeking Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,failed,Failed validation: - Provider returned invalid JSON or an unusable response: Unterminated string starting at: line 8 column 22 (char 208),2026-05-07T18:15:09Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2,Assertion / Hidden-Accusation Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,failed,Failed validation: - Provider returned invalid JSON or an unusable response: Expecting value: line 8 column 21 (char 215),2026-05-07T18:15:34Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3,Request / Directive Questions,zero_shot,10.0,0.7,gemini,gemini-flash-latest,failed,"Failed validation: - Provider returned invalid JSON or an unusable response: Expecting ',' delimiter: line 64 column 4 (char 4640)",2026-05-07T18:15:59Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1,Replies (Direct Answers),zero_shot,10.0,0.7,gemini,gemini-flash-latest,failed,Failed validation: - Provider returned invalid JSON or an unusable response: Unterminated string starting at: line 6 column 22 (char 100),2026-05-07T18:16:23Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
