Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
15/03/2024,12456,Ivan Bartolo,Prime Minister,EU Recovery Funds - Allocation Breakdown,"In view of the upcoming disbursement of EU Recovery and Resilience Facility funds, can the Prime Minister provide a detailed breakdown of how the allocated €150 million will be distributed across sectors, including the projected timeline for each disbursement tranche?","The Government confirms that a comprehensive allocation plan for the €150 million in EU Recovery and Resilience Facility funds has been finalised and will be tabled in Parliament within the next two weeks. The plan outlines sectoral distributions, including €60 million for healthcare infrastructure, €45 million for green energy initiatives, and €30 million for digital transformation in public administration, with disbursements scheduled quarterly starting from Q3 2024."
22/03/2024,12489,Chris Said,Justice and Reform of the Construction Sector,Construction Permits - Processing Delays,"Given persistent complaints regarding delays in processing construction permits, can the Minister for Justice and Reform of the Construction Sector provide a written list of all applications pending approval for over six months, including the reasons for such delays and a concrete action plan to resolve them within the next three months?","The Ministry acknowledges delays in permit processing and has identified 187 applications pending for over six months due to incomplete documentation or technical review requirements. A dedicated task force has been established to resolve these cases within 90 days, with weekly progress reports to be shared with stakeholders. The Minister will table a full list of delayed cases by 15/04/2024."
05/04/2024,12501,Justin Schembri,"Environment, Energy and Regeneration of the Grand Harbour",Grand Harbour Regeneration - Contractor Selection,"Can the Minister confirm whether the contract for the Grand Harbour regeneration project has been awarded, and if so, provide the name of the selected contractor, the total contract value, and the expected completion timeline?","The contract for the Grand Harbour regeneration project was awarded to Mediterranean Infrastructure Partners Ltd. on 28/03/2024, with a total value of €85 million. The project is scheduled for completion in phases, with the first phase (harbourfront promenade) due by December 2026 and the second phase (maritime museum and cultural centre) by December 2027."
10/04/2024,12512,Jerome Caruana Cilia,"Education, Sport, Youth, Research and Innovation",Digital Learning Platform - Tender Documents,"Given the recent announcement of a new national digital learning platform, can the Minister for Education provide all tender documents, evaluation criteria, and the names of the shortlisted bidders for this project?","The Ministry confirms that the tender for the national digital learning platform was issued on 01/03/2024, with three shortlisted bidders: EdTech Malta Ltd., LearnFlow Solutions, and Global Education Systems. The full tender dossier, including evaluation criteria, has been published on the Ministry’s website and is available for public scrutiny. The final selection is expected by 30/06/2024."
18/04/2024,12523,Graziella Attard Previ,"Home Affairs, Security, Reforms and Equality",Police Reform - Implementation Roadmap,"Can the Minister for Home Affairs provide a detailed implementation roadmap for the ongoing police reform, including key milestones, responsible entities, and a projected timeline for full operationalisation of the new Police Service Act?","The Government confirms that the police reform implementation roadmap has been finalised and will be published by 30/04/2024. Key milestones include the establishment of the Independent Police Complaints Board by Q3 2024, the rollout of community policing units by Q1 2025, and full operationalisation of the Police Service Act by Q4 2025. Regular progress updates will be tabled in Parliament."
25/04/2024,12534,Rebekah Borg,Social Policy and Children's Rights,Childcare Services - Funding Allocation,"Can the Minister for Social Policy provide a breakdown of all government funding allocated to childcare services in the past three years, including the number of children benefiting from subsidised childcare and the average subsidy per child?","The Ministry confirms that annual funding for childcare services has increased from €12 million in 2021 to €18 million in 2024. Over the past three years, an average of 4,200 children per year have benefited from subsidised childcare, with the average subsidy rising from €250 to €350 per month. A detailed breakdown by year and locality will be tabled by 10/05/2024."
02/05/2024,12545,Ivan Castillo,Health and Active Ageing,Mater Dei Hospital - Equipment Procurement,"Can the Minister for Health provide a full list of all medical equipment procured for Mater Dei Hospital in the past 12 months, including the suppliers, contract values, and expected delivery dates?","The Ministry confirms that 12 major equipment procurement contracts were finalised for Mater Dei Hospital in the past year, valued at a total of €15 million. A full list, including suppliers such as MedTech Solutions Ltd. and BioMedical Equipment Malta, contract values ranging from €500,000 to €2.3 million, and delivery schedules from Q2 2024 to Q1 2025, will be tabled by 15/05/2024."
09/05/2024,12556,Ivan Bartolo,"Economy, European Funds and Lands",Land Valuation Appeals - Pending Cases,"Given reports of delays in land valuation appeals, can the Minister for Economy provide a written list of all pending land valuation appeals, including the date of submission, estimated resolution timeline, and the reasons for any delays?","The Ministry acknowledges 47 pending land valuation appeals, with an average processing time of 12 months. The main causes of delay are incomplete documentation in 22 cases and complex legal disputes in 15 cases. A task force has been set up to resolve 30 cases by Q4 2024, with the full list to be published on the Ministry’s website by 20/05/2024."
16/05/2024,12567,Chris Said,"Transport, Infrastructure and Public Works",Public Transport Enhancements - Contractor Progress,"Can the Minister for Transport confirm whether the contractor for the public transport enhancements project has met the agreed milestones, and if not, provide a revised timeline for completion along with reasons for any delays?","The Ministry confirms that the contractor, Malta Transport Solutions, has met all agreed milestones for the public transport enhancements project, including the installation of new bus shelters and digital signage. The project is on track for completion by December 2024, with 85% of works already finalised. A full progress report will be published by 31/05/2024."
23/05/2024,12578,Justin Schembri,Gozo,Gozo Channel Service - Tender Evaluation,"Can the Minister for Gozo provide all documentation related to the evaluation of tenders for the new Gozo Channel service, including the names of the shortlisted bidders, the evaluation criteria applied, and the projected timeline for the award of the contract?","The Ministry confirms that the tender evaluation for the new Gozo Channel service is underway, with three shortlisted bidders: Gozo Maritime Services, Malta Ferry Operations, and Grand Harbour Ferries. The evaluation criteria include vessel capacity, frequency, and sustainability, with the final selection expected by 30/06/2024. All tender documents and evaluation frameworks will be published on the Ministry’s website by 31/05/2024."
