DATE,PQ NO.,MP,Title,Question,Question Type,Question Categorization accuracy,Answer,Answer Type,Answer Categorization accuracy
12/03/2024,14501,Ivan Bartolo,Foster Care - Statistics,"Can the Minister state how many children were placed in foster care between January 2023 and December 2023, and provide a breakdown by age group?",Information-Seeking Questions,yes,"During the period mentioned, a total of 84 children were placed in foster care. The breakdown is as follows: 0-4 years (30), 5-10 years (28), and 11-17 years (26).",,
15/03/2024,14582,Chris Said,Road Maintenance - Victoria,"Can the Minister provide the scheduled dates for the resurfacing of Triq l-Imgħallem in Victoria, Gozo?",Information-Seeking Questions,yes,"The resurfacing works for the mentioned road are scheduled to commence in the third week of May 2024, subject to favorable weather conditions and the completion of utility trenching.",,
20/03/2024,15203,Justin Schembri,School Facilities - Science Labs,Can the Minister list the secondary schools that received new laboratory equipment during the 2023-2024 scholastic year?,Information-Seeking Questions,yes,"New equipment was distributed to the laboratories of the following Middle and Secondary Schools: St. Clare College, St. Nicholas College (Dingli), and St. Thomas More College (Zejtun).",,
22/03/2024,16110,Jerome Caruana Cilia,Industrial Parks - Occupancy,Can the Minister state the current occupancy rate of the industrial units managed by INDIS in the Bulebel industrial estate?,Information-Seeking Questions,yes,"As of the end of February 2024, the occupancy rate of industrial units in the Bulebel estate stands at 94.2%, with 112 out of 119 units currently leased.",,
25/03/2024,16895,Graziella Attard Previ,Geriatric Services - Bed Capacity,Can the Minister provide information on the total number of beds currently available at the St. Vincent de Paul Long Term Care Facility?,Information-Seeking Questions,yes,"The total capacity of St. Vincent de Paul Long Term Care Facility is currently 1,140 beds, following the recent renovation of two older wings.",,
28/03/2024,17402,Rebekah Borg,Building Authority - Personnel,Can the Minister state the number of full-time enforcement officers currently employed by the Building and Construction Authority (BCA)?,Information-Seeking Questions,yes,"There are currently 42 full-time enforcement officers employed by the Building and Construction Authority, with a recruitment process underway for an additional 10 officers.",,
02/04/2024,18211,Ivan Castillo,Firefighting - Equipment,Can the Minister provide a list of new firefighting vehicles purchased for the Civil Protection Department in the last 24 months?,Information-Seeking Questions,yes,"In the last 24 months, the Civil Protection Department has acquired four heavy-duty water tankers, two specialized industrial foam tenders, and three rapid intervention vehicles.",,
05/04/2024,19005,Ivan Bartolo,EV Charging - Infrastructure,Can the Minister provide the locations of the ten newest electric vehicle charging points installed in the Northern region of Malta?,Information-Seeking Questions,yes,"The ten newest charging points in the Northern region were installed in Mellieħa (3), St. Paul's Bay (4), and Naxxar (3) at designated public parking areas.",,
08/04/2024,19820,Chris Said,Afforestation - Gozo Projects,Can the Minister state the number of indigenous trees planted in Gozo as part of the nationwide afforestation project during 2023?,Information-Seeking Questions,yes,"In 2023, a total of 2,450 indigenous trees and shrubs were planted at various sites in Gozo, including the areas around Qortin and Nadur.",,
11/04/2024,20334,Justin Schembri,Literacy Programs - Participation,Can the Minister provide the number of students who participated in the 'Reading Ambassadors' program during the last academic year?,Information-Seeking Questions,yes,"During the 2022-2023 academic year, approximately 4,500 students from various primary schools participated in sessions organized by the Reading Ambassadors.",,
